route_id,file_name,duration_sec
B2,B2_5.gpx,95
B2,B2_1.gpx,86
B2,B2_2.gpx,82
B2,B2_3.gpx,284
B3,B3_4.gpx,120
B3,B3_5.gpx,99
B3,B3_6.gpx,93
B3,B3_2.gpx,77
B3,B3_3.gpx,72
B3,B3_1.gpx,77
B4,B4_1.gpx,111
B4,B4_2.gpx,101
B4,B4_3.gpx,106
B4,B4_4.gpx,107
B4,B4_5.gpx,106
A2,A2_9.gpx,88
A2,A2_8.gpx,85
A2,A2_11.gpx,86
A2,A2_10.gpx,91
A2,A2_1.gpx,162
A2,A2_3.gpx,16
A2,A2_12.gpx,86
A2,A2_13.gpx,94
A2,A2_2.gpx,165
A2,A2_6.gpx,97
A2,A2_7.gpx,81
A2,A2_5.gpx,91
A2,A2_14.gpx,91
A2,A2_15.gpx,165
A2,A2_4.gpx,61
D1,D1_4.gpx,224
D1,D1_5.gpx,224
D1,D1_7.gpx,261
D1,D1_6.gpx,306
D1,D1_2.gpx,166
D1,D1_3.gpx,223
D1,D1_1.gpx,434
D1,D1_11.gpx,111
D1,D1_10.gpx,116
D1,D1_8.gpx,127
D1,D1_9.gpx,106
E5,E5_2.gpx,209
E5,E5_3.gpx,199
E5,E5_1.gpx,208
E5,E5_4.gpx,215
E5,E5_5.gpx,219
E2,E2_6.gpx,315
E2,E2_4.gpx,325
E2,E2_5.gpx,303
E2,E2_1.gpx,133
E2,E2_2.gpx,139
E2,E2_3.gpx,283
E3,E3_8.gpx,182
E3,E3_9.gpx,217
E3,E3_12.gpx,200
E3,E3_13.gpx,187
E3,E3_11.gpx,191
E3,E3_10.gpx,199
E3,E3_4.gpx,183
E3,E3_5.gpx,133
E3,E3_7.gpx,200
E3,E3_6.gpx,139
E3,E3_2.gpx,179
E3,E3_3.gpx,161
E3,E3_1.gpx,248
E4,E4_1.gpx,195
E4,E4_2.gpx,191
E4,E4_3.gpx,216
E4,E4_4.gpx,196
E4,E4_5.gpx,201
C1,C1_4.gpx,239
C1,C1_5.gpx,268
C1,C1_6.gpx,249
C1,C1_2.gpx,260
C1,C1_3.gpx,239
C1,C1_1.gpx,138
B1,B1_6.gpx,261
B1,B1_5.gpx,319
B1,B1_1.gpx,239
B1,B1_3.gpx,127
B1,B1_2.gpx,145
A1,A1_8.gpx,208
A1,A1_16.gpx,127
A1,A1_17.gpx,128
A1,A1_9.gpx,158
A1,A1_15.gpx,125
A1,A1_14.gpx,139
A1,A1_10.gpx,137
A1,A1_11.gpx,167
A1,A1_13.gpx,141
A1,A1_12.gpx,157
A1,A1_1.gpx,233
A1,A1_2.gpx,231
A1,A1_3.gpx,273
A1,A1_7.gpx,300
A1,A1_6.gpx,346
A1,A1_4.gpx,266
A1,A1_5.gpx,121
E1,E1_5.gpx,364
E1,E1_4.gpx,380
E1,E1_1.gpx,280
E1,E1_3.gpx,318
E1,E1_2.gpx,263
